Id,SalePrice
1461,127481.58835596511
1462,153152.91045672595
1463,179348.94085966938
1464,179651.23859277935
1465,203425.79593822337
1466,181655.30417596243
1467,164697.37116584502
1468,176810.59808295846
1469,188138.36697359185
1470,119751.67554157943
1471,193597.63512285295
1472,97665.14678655259
1473,103404.5975889879
1474,161927.59735463196
1475,153082.42660628614
1476,394229.8586035574
1477,252551.00395263085
1478,308443.5896811238
1479,255654.41269415047
1480,450580.5159717028
1481,298447.18931779003
1482,206731.38302946757
1483,173702.45113650966
1484,183524.5290453807
1485,174012.39399811724
1486,198056.9898279546
1487,333088.24444894906
1488,236880.84912984003
1489,203809.19484165515
1490,193196.13963498923
1491,193934.01058069692
1492,99684.48398756939
1493,172952.92487170905
1494,297684.4857444111
1495,296870.9758651416
1496,223003.72619625373
1497,195221.77262612697
1498,154663.80192529818
1499,154074.1091475204
1500,148384.03608430468
1501,176087.53872510282
1502,175079.24577112842
1503,300362.8803024209
1504,226085.24352263645
1505,211205.21492837253
1506,178985.4389522982
1507,209501.15098184903
1508,193584.92227352862
1509,164853.75431357077
1510,151200.69275164985
1511,151083.45540069256
1512,170612.7222927593
1513,153048.97754711294
1514,160712.68122501523
1515,176448.81154484558
1516,158420.26451313272
1517,148115.3318071139
1518,131915.44782846543
1519,220040.76363393216
1520,139620.44520280615
1521,145774.5107285831
1522,163938.21635740652
1523,117827.6575138629
1524,122584.67617157091
1525,125951.10074197719
1526,130420.09120540385
1527,105495.26339529229
1528,125728.60770863477
1529,143282.86170339078
1530,170689.43561807624
1531,134441.79919290854
1532,113277.0984050377
1533,151255.70924989713
1534,116064.49069235625
1535,160591.3876279803
1536,119681.88128404382
1537,79860.70120368431
1538,177456.7592990101
1539,242362.35819593683
1540,112597.50215036717
1541,152279.70573137363
1542,149455.12478202133
1543,215170.4731500199
1544,81409.7697214914
1545,111802.36050687922
1546,125003.91841051765
1547,141374.3981350681
1548,137232.5312310294
1549,115580.3301036411
1550,143380.41328727908
1551,119659.08903078434
1552,144415.96198452357
1553,141443.45881988294
1554,112759.3072192892
1555,169056.62363755933
1556,98849.45629678642
1557,131854.72987703697
1558,98583.78684580445
1559,117001.96399083712
1560,151479.12618805803
1561,156153.94701701615
1562,123650.81118813659
1563,123549.52697562567
1564,165517.876722393
1565,158174.28086819465
1566,209827.58006888532
1567,80958.56522203893
1568,219111.1721209513
1569,143411.7041355408
1570,121811.12483901977
1571,134309.41465556808
1572,143249.66857252223
1573,242506.30643762945
1574,125322.890047366
1575,207944.72706603387
1576,207254.11997943206
1577,203164.1502741495
1578,157262.711397304
1579,137048.55143514316
1580,193424.4197515632
1581,138192.66869432453
1582,129919.41256844091
1583,336883.29418346507
1584,239343.28093097333
1585,141950.05210091098
1586,81126.15788016414
1587,107315.18296609948
1588,148586.93808814164
1589,99043.34944160812
1590,138087.34581669208
1591,110259.94241899952
1592,125251.05305573088
1593,117732.64862910907
1594,135236.5872365149
1595,120889.15223923768
1596,236378.4079669172
1597,154801.27469578903
1598,189570.1019379443
1599,206424.36644124324
1600,195712.78899047407
1601,85658.68276126953
1602,115440.85864152668
1603,99746.87605910495
1604,283941.24799935945
1605,249291.40012591844
1606,166756.60372263135
1607,161993.93573135254
1608,209815.40859006456
1609,199267.95185501242
1610,164456.24616737824
1611,148864.07651450264
1612,157636.77885299208
1613,164915.4148664547
1614,121220.65292301883
1615,91549.61656247609
1616,87128.67874706529
1617,93495.88431894711
1618,126627.71601393056
1619,132034.06044945013
1620,144912.86097397207
1621,137190.84802646146
1622,151491.4651175258
1623,290844.5591561166
1624,209529.84658995856
1625,129750.9577004493
1626,169446.9417062719
1627,183358.48146095106
1628,284107.40082639863
1629,178420.9149726444
1630,354251.3309934341
1631,230926.57935680076
1632,250129.6421573446
1633,169417.2511159423
1634,178580.67047050173
1635,178962.5473355284
1636,160982.1467813128
1637,167516.76252480468
1638,216969.9351206164
1639,176964.2182857154
1640,252705.45719658877
1641,177982.0209281374
1642,212725.1277148151
1643,226083.8999848077
1644,224550.6749740153
1645,172782.26219453764
1646,150182.42793130458
1647,167499.33345823275
1648,144937.99486026345
1649,140745.10701426893
1650,121283.75002660022
1651,119199.78672649135
1652,97720.11525657108
1653,98658.96662328391
1654,163199.93445521733
1655,163351.81310545572
1656,161770.10128083618
1657,162087.49632852396
1658,162388.7843728085
1659,154064.57503288254
1660,141774.73772825088
1661,429094.10977196204
1662,407892.0488927946
1663,374278.19943453785
1664,450006.63641905517
1665,319776.72856708727
1666,326569.48433273035
1667,358194.64908512495
1668,335156.72313959734
1669,302909.85046656756
1670,334641.581315033
1671,257772.16512931994
1672,471560.76334871957
1673,291418.9174059254
1674,250476.80139061649
1675,181268.007289595
1676,185323.2534231437
1677,206710.2953936771
1678,446808.47187240707
1679,373984.23130168125
1680,323000.16103331605
1681,272019.72192850563
1682,301680.8966688637
1683,192674.85014580097
